canny_threshold1,canny_threshold2,min_line_length,max_line_gap,hough_threshold,false_positives,true_positives,precision,recall,f1_score
210,208,377,10,50,6,90,0.9375,0.9090909090909091,0.923076923076923
205,209,377,10,50,8,93,0.9207920792079208,0.9393939393939394,0.9300000000000002
198,211,376,10,50,9,91,0.91,0.9191919191919192,0.9145728643216081
197,212,376,10,50,9,91,0.91,0.9191919191919192,0.9145728643216081
196,212,376,10,50,9,91,0.91,0.9191919191919192,0.9145728643216081
195,213,375,10,50,10,90,0.9,0.9090909090909091,0.9045226130653266
199,211,377,10,50,9,91,0.91,0.9191919191919192,0.9145728643216081
266,350,271,35,469,17,61,0.782051282051282,0.6161616161616161,0.6892655367231638
199,210,377,10,50,9,91,0.91,0.9191919191919192,0.9145728643216081
198,211,377,10,50,9,91,0.91,0.9191919191919192,0.9145728643216081
198,212,376,9,50,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
276,61,305,2,57,3,50,0.9433962264150944,0.5050505050505051,0.6578947368421053
199,209,355,10,50,13,93,0.8773584905660378,0.9393939393939394,0.9073170731707318
197,213,370,10,50,9,91,0.91,0.9191919191919192,0.9145728643216081
196,214,370,10,50,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
199,212,359,10,50,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
197,214,379,10,50,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
197,215,378,10,50,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
446,479,485,48,79,8,35,0.813953488372093,0.35353535353535354,0.49295774647887325
197,214,378,10,50,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
197,216,377,10,50,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
195,219,375,10,50,9,86,0.9052631578947369,0.8686868686868687,0.88659793814433
208,198,360,10,50,12,93,0.8857142857142857,0.9393939393939394,0.9117647058823529
208,198,362,10,50,12,93,0.8857142857142857,0.9393939393939394,0.9117647058823529
207,197,376,10,50,6,92,0.9387755102040817,0.9292929292929293,0.934010152284264
206,193,375,10,50,11,88,0.8888888888888888,0.8888888888888888,0.8888888888888888
207,207,385,10,50,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
209,208,350,9,50,12,92,0.8846153846153846,0.9292929292929293,0.9064039408866995
208,206,385,10,50,7,87,0.925531914893617,0.8787878787878788,0.9015544041450778
210,207,352,10,50,15,93,0.8611111111111112,0.9393939393939394,0.8985507246376813
208,210,387,10,50,6,88,0.9361702127659575,0.8888888888888888,0.9119170984455959
208,210,386,10,50,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
207,210,387,10,50,10,86,0.8958333333333334,0.8686868686868687,0.8820512820512821
213,207,352,10,50,13,93,0.8773584905660378,0.9393939393939394,0.9073170731707318
210,218,366,10,50,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
212,210,355,10,50,8,93,0.9207920792079208,0.9393939393939394,0.9300000000000002
212,209,346,10,50,17,94,0.8468468468468469,0.9494949494949495,0.8952380952380952
210,218,374,10,50,7,87,0.925531914893617,0.8787878787878788,0.9015544041450778
214,196,375,10,50,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
214,196,374,10,50,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
214,195,374,10,50,12,90,0.8823529411764706,0.9090909090909091,0.8955223880597014
209,220,371,10,50,6,91,0.9381443298969072,0.9191919191919192,0.9285714285714285
208,224,368,10,50,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
206,229,365,9,50,8,88,0.9166666666666666,0.8888888888888888,0.9025641025641026
208,225,370,10,50,7,91,0.9285714285714286,0.9191919191919192,0.9238578680203046
207,228,368,10,50,11,90,0.8910891089108911,0.9090909090909091,0.9
210,223,372,10,50,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
210,222,373,10,50,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
210,221,374,10,50,10,91,0.900990099009901,0.9191919191919192,0.91
210,220,374,10,50,10,91,0.900990099009901,0.9191919191919192,0.91
211,217,356,10,50,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
210,217,353,10,50,11,92,0.8932038834951457,0.9292929292929293,0.9108910891089108
210,217,354,10,50,11,92,0.8932038834951457,0.9292929292929293,0.9108910891089108
209,218,356,9,50,7,91,0.9285714285714286,0.9191919191919192,0.9238578680203046
207,221,350,9,50,12,91,0.883495145631068,0.9191919191919192,0.9009900990099011
210,219,376,10,50,7,87,0.925531914893617,0.8787878787878788,0.9015544041450778
212,211,352,10,50,10,93,0.9029126213592233,0.9393939393939394,0.9207920792079209
212,211,348,9,50,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
212,209,350,10,50,15,94,0.8623853211009175,0.9494949494949495,0.9038461538461539
